,index,id,imdb_id,title,type,genres,production_countries,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
0,0,tm100001,tt0025440,The Lucky Texan,MOVIE,action,US,1934.0,61.0,5.6,1213.0,4.079,4.7
1,1,tm100001,tt0025440,The Lucky Texan,MOVIE,romance,US,1934.0,61.0,5.6,1213.0,4.079,4.7
2,2,tm100001,tt0025440,The Lucky Texan,MOVIE,western,US,1934.0,61.0,5.6,1213.0,4.079,4.7
3,3,tm1000022,tt11654032,Boonie Bears: The Wild Life,MOVIE,animation,CN,2021.0,99.0,5.4,117.0,6.135,3.8
4,4,tm1000022,tt11654032,Boonie Bears: The Wild Life,MOVIE,scifi,CN,2021.0,99.0,5.4,117.0,6.135,3.8
5,5,tm1000203,tt7752100,Digging to Death,MOVIE,horror,US,2021.0,96.0,4.5,464.0,3.5430000000000006,5.8
6,6,tm1000203,tt7752100,Digging to Death,MOVIE,thriller,US,2021.0,96.0,4.5,464.0,3.5430000000000006,5.8
7,7,tm1000378,tt11306376,Jathi Ratnalu,MOVIE,comedy,IN,2021.0,148.0,7.5,7105.0,2.862,7.4
8,8,tm1000378,tt11306376,Jathi Ratnalu,MOVIE,drama,IN,2021.0,148.0,7.5,7105.0,2.862,7.4
9,9,tm1000406,tt8391548,Dark Corners,MOVIE,thriller,GB,2021.0,90.0,4.0,81.0,2.999,8.0
10,10,tm1000406,tt8391548,Dark Corners,MOVIE,thriller,NO,2021.0,90.0,4.0,81.0,2.999,8.0
11,11,tm1000619,tt8960382,Radhe Shyam,MOVIE,drama,IN,2022.0,138.0,6.9,21328.0,9.77,5.4
12,12,tm1000619,tt8960382,Radhe Shyam,MOVIE,romance,IN,2022.0,138.0,6.9,21328.0,9.77,5.4
13,13,tm100065,tt0009937,Blind Husbands,MOVIE,drama,US,1919.0,89.0,6.9,1538.0,1.5849999999999997,6.3
14,14,tm100065,tt0009937,Blind Husbands,MOVIE,romance,US,1919.0,89.0,6.9,1538.0,1.5849999999999997,6.3
15,15,tm100070,tt0025424,Lost in the Stratosphere,MOVIE,action,US,1934.0,64.0,4.5,114.0,1.7559999999999998,5.0
16,16,tm100070,tt0025424,Lost in the Stratosphere,MOVIE,comedy,US,1934.0,64.0,4.5,114.0,1.7559999999999998,5.0
17,17,tm100070,tt0025424,Lost in the Stratosphere,MOVIE,drama,US,1934.0,64.0,4.5,114.0,1.7559999999999998,5.0
18,18,tm100070,tt0025424,Lost in the Stratosphere,MOVIE,romance,US,1934.0,64.0,4.5,114.0,1.7559999999999998,5.0
19,19,tm1001366,tt9153902,Hawks Ridge,MOVIE,drama,US,2020.0,95.0,5.1,20.0,0.6,
20,20,tm1001486,tt9458062,Enhanced,MOVIE,action,CA,2019.0,95.0,4.7,812.0,6.588,5.6
21,21,tm1001486,tt9458062,Enhanced,MOVIE,scifi,CA,2019.0,95.0,4.7,812.0,6.588,5.6
22,22,tm100157,tt1117983,My Normal,MOVIE,drama,US,2010.0,77.0,4.1,751.0,4.078,4.4
23,23,tm100157,tt1117983,My Normal,MOVIE,romance,US,2010.0,77.0,4.1,751.0,4.078,4.4
24,24,tm100158,tt0065889,Investigation of a Citizen Above Suspicion,MOVIE,crime,IT,1970.0,111.0,8.0,11130.0,8.996,8.2
25,25,tm100158,tt0065889,Investigation of a Citizen Above Suspicion,MOVIE,drama,IT,1970.0,111.0,8.0,11130.0,8.996,8.2
26,26,tm100158,tt0065889,Investigation of a Citizen Above Suspicion,MOVIE,european,IT,1970.0,111.0,8.0,11130.0,8.996,8.2
27,27,tm100158,tt0065889,Investigation of a Citizen Above Suspicion,MOVIE,thriller,IT,1970.0,111.0,8.0,11130.0,8.996,8.2
28,28,tm1001637,tt10569922,Bunty Aur Babli 2,MOVIE,comedy,IN,2021.0,138.0,4.0,3700.0,3.277,4.5
29,29,tm1001637,tt10569922,Bunty Aur Babli 2,MOVIE,crime,IN,2021.0,138.0,4.0,3700.0,3.277,4.5
30,30,tm1001637,tt10569922,Bunty Aur Babli 2,MOVIE,drama,IN,2021.0,138.0,4.0,3700.0,3.277,4.5
31,31,tm1001637,tt10569922,Bunty Aur Babli 2,MOVIE,romance,IN,2021.0,138.0,4.0,3700.0,3.277,4.5
32,32,tm1002150,tt12483708,Doors,MOVIE,scifi,US,2021.0,84.0,3.5,2549.0,9.118,5.1
33,33,tm1002374,tt11306488,Kapatadhaari,MOVIE,crime,IN,2021.0,146.0,6.3,452.0,1.866,6.3
34,34,tm1002374,tt11306488,Kapatadhaari,MOVIE,drama,IN,2021.0,146.0,6.3,452.0,1.866,6.3
35,35,tm1002374,tt11306488,Kapatadhaari,MOVIE,thriller,IN,2021.0,146.0,6.3,452.0,1.866,6.3
36,36,tm10026,tt0030057,The Devil's Party,MOVIE,crime,US,1938.0,65.0,5.7,269.0,1.22,5.3
37,37,tm10026,tt0030057,The Devil's Party,MOVIE,drama,US,1938.0,65.0,5.7,269.0,1.22,5.3
38,38,tm100266,tt1470172,Hanna's Gold,MOVIE,family,US,2010.0,90.0,4.8,234.0,0.788,5.0
39,39,tm1003143,tt13554896,Surviving America,MOVIE,documentation,US,2020.0,96.0,3.3,96.0,3.687,1.0
40,40,tm100333,tt0166130,Broken Blossoms,MOVIE,drama,US,1919.0,89.0,7.3,10230.0,6.012,6.9
41,41,tm100333,tt0166130,Broken Blossoms,MOVIE,romance,US,1919.0,89.0,7.3,10230.0,6.012,6.9
42,42,tm100334,tt0045877,The Hitch-Hiker,MOVIE,crime,US,1953.0,71.0,6.9,8806.0,6.337,6.8
43,43,tm100334,tt0045877,The Hitch-Hiker,MOVIE,drama,US,1953.0,71.0,6.9,8806.0,6.337,6.8
44,44,tm100334,tt0045877,The Hitch-Hiker,MOVIE,thriller,US,1953.0,71.0,6.9,8806.0,6.337,6.8
45,45,tm100338,tt0126214,Beyond Bengal,MOVIE,action,US,1934.0,62.0,5.2,58.0,0.6,4.0
46,46,tm100338,tt0126214,Beyond Bengal,MOVIE,thriller,US,1934.0,62.0,5.2,58.0,0.6,4.0
47,47,tm100402,tt0045883,Hondo,MOVIE,drama,US,1953.0,83.0,7.0,10867.0,9.367,6.6
48,48,tm100402,tt0045883,Hondo,MOVIE,romance,US,1953.0,83.0,7.0,10867.0,9.367,6.6
49,49,tm100402,tt0045883,Hondo,MOVIE,war,US,1953.0,83.0,7.0,10867.0,9.367,6.6
50,50,tm100402,tt0045883,Hondo,MOVIE,western,US,1953.0,83.0,7.0,10867.0,9.367,6.6
51,51,tm1004072,tt10309902,Chehre,MOVIE,drama,IN,2021.0,139.0,7.0,26844.0,3.427,6.9
52,52,tm1004072,tt10309902,Chehre,MOVIE,thriller,IN,2021.0,139.0,7.0,26844.0,3.427,6.9
53,53,tm1004275,tt13372884,Black as Night,MOVIE,drama,US,2021.0,87.0,4.2,1874.0,42.571,5.4
